date,open,high,low,close,volume,closeadj,change,pct_chg,sin_time_id,cos_time_id
2017-02-14,26.997,27.538,26.573,27.195,85063148,26.804,0.055,0.202,0.2994,0.5
2017-02-15,27.225,27.45,26.94,27.25,37302048,26.858,-0.438,-1.607,0.1012,0.5
2017-02-16,27.348,27.36,26.415,26.812,64717544,26.427,-0.004,-0.015,-0.1012,0.5
2017-02-17,26.675,26.852,26.198,26.808,56373860,26.422,0.959,3.577,-0.2994,0.5
2017-02-21,27.058,27.808,27.055,27.767,55195132,27.368,-0.077,-0.277,-0.8978,0.5
2017-02-22,27.855,27.95,27.497,27.69,43377024,27.326,-2.568,-9.274,-0.9681,0.5
2017-02-23,26.375,26.598,24.92,25.122,159288852,24.793,0.243,0.967,-0.9987,0.5
2017-02-24,24.267,25.5,23.925,25.365,102990388,25.032,0.737,2.906,-0.9885,0.5
2017-02-27,25.55,26.255,25.39,26.102,71540076,25.76,-0.732,-2.804,-0.7248,0.5
2017-02-28,26.2,26.3,25.194,25.37,62535872,25.037,0.328,1.293,-0.5713,0.5
2017-03-01,25.948,26.093,25.277,25.698,50480556,25.36,-0.948,-3.689,0.2013,0.0
2017-03-02,25.567,25.71,24.723,24.75,75433112,24.425,-0.142,-0.574,0.3944,0.0
2017-03-03,24.642,24.692,24.055,24.608,86545696,24.284,-0.19,-0.772,0.5713,0.0
2017-03-06,24.24,24.525,23.793,24.418,88356676,24.097,0.267,1.093,0.9378,0.0
2017-03-07,24.418,24.883,24.288,24.685,60340028,24.361,-0.045,-0.182,0.9885,0.0
2017-03-08,25.175,25.325,24.617,24.64,63871288,24.317,-0.005,-0.02,0.9987,0.0
2017-03-09,24.477,24.863,24.35,24.635,47805884,24.312,0.145,0.589,0.9681,0.0
2017-03-10,24.902,25.023,24.595,24.78,49974052,24.455,0.682,2.752,0.8978,0.0
2017-03-13,24.885,25.562,24.878,25.462,77413608,25.128,-0.017,-0.067,0.4853,0.0
2017-03-14,25.593,25.688,25.117,25.445,52201660,25.111,0.192,0.755,0.2994,0.0
2017-03-15,25.562,25.747,25.08,25.637,61503408,25.301,0.316,1.233,0.1012,0.0
2017-03-16,25.745,25.957,25.602,25.953,52309980,25.612,0.564,2.173,-0.1012,0.0
2017-03-17,26.13,26.53,25.953,26.517,111968676,26.169,0.846,3.19,-0.2994,0.0
2017-03-20,26.695,27.402,26.532,27.363,74856608,27.003,-0.886,-3.238,-0.7908,0.0
